doc_id	topic_0	topic_1
668	0.040787	0.959213
669	0.052628	0.947372
670	0.355955	0.644045
671	0.083022	0.916978
672	0.085814	0.914186
673	0.088449	0.911551
674	0.031930	0.968070
675	0.038269	0.961731
676	0.024833	0.975167
677	0.175022	0.824978
678	0.051002	0.948998
679	0.960384	0.039616
680	0.048547	0.951453
681	0.033316	0.966684
682	0.027002	0.972998
683	0.119600	0.880400
684	0.680907	0.319093
685	0.025996	0.974004
686	0.041312	0.958688
687	0.023504	0.976496
688	0.042678	0.957322
689	0.071699	0.928301
690	0.151712	0.848288
691	0.047339	0.952661
692	0.043529	0.956471
693	0.057663	0.942337
694	0.045074	0.954926
695	0.656121	0.343879
696	0.218087	0.781913
697	0.047162	0.952838
698	0.059496	0.940504
699	0.027107	0.972893
700	0.039229	0.960771
701	0.042255	0.957745
702	0.044121	0.955879
703	0.137796	0.862204
704	0.075050	0.924950
705	0.553773	0.446227
706	0.029047	0.970953
707	0.029039	0.970961
708	0.056747	0.943253
709	0.141709	0.858291
710	0.029472	0.970528
711	0.035376	0.964624
712	0.044217	0.955783
713	0.021794	0.978206
714	0.145883	0.854117
715	0.034088	0.965912
716	0.662976	0.337024
717	0.106539	0.893461
718	0.031437	0.968563
719	0.035492	0.964508
720	0.021541	0.978459
721	0.444314	0.555686
722	0.512682	0.487318
723	0.088774	0.911226
724	0.071323	0.928677
725	0.025271	0.974729
726	0.024520	0.975480
727	0.208436	0.791564
728	0.034112	0.965888
729	0.183985	0.816015
730	0.700097	0.299903
731	0.166933	0.833067
732	0.142690	0.857310
733	0.029699	0.970301
734	0.029094	0.970906
735	0.023964	0.976036
736	0.047142	0.952858
737	0.048422	0.951578
738	0.038900	0.961100
739	0.522085	0.477915
740	0.120452	0.879548
741	0.125189	0.874811
742	0.029032	0.970968
743	0.029699	0.970301
744	0.027589	0.972411
745	0.032784	0.967216
746	0.025175	0.974825
747	0.344740	0.655260
748	0.579589	0.420411
749	0.102090	0.897910
750	0.030352	0.969648
751	0.041076	0.958924
752	0.413506	0.586494
753	0.048631	0.951369
754	0.048358	0.951642
755	0.037572	0.962428
756	0.030943	0.969057
757	0.026070	0.973930
758	0.232568	0.767432
